episode,reward
0,0.38675
100,0.69025
200,0.7325
300,0.92525
400,1.149
500,1.2015
600,1.294
700,1.5575
800,1.48775
900,1.68775
1000,1.691
1100,1.699
1200,1.86575
1300,1.6965
1400,1.862
1500,1.83675
1600,1.6645
1700,1.90975
1800,1.9095
1900,1.8285
2000,1.647
2100,1.78925
2200,1.799
2300,1.86975
2400,2.0025
2500,1.79725
2600,1.67275
2700,1.785
2800,1.99175
2900,2.09375
3000,1.92725
3100,1.81875
3200,2.01
3300,1.84375
3400,1.50925
3500,2.20875
3600,1.9665
3700,1.83
3800,1.6955
3900,2.0905
4000,2.08475
4100,2.17425
4200,1.96025
4300,1.93825
4400,1.8095
4500,1.894
4600,2.07075
4700,2.00375
4800,2.10875
4900,2.01925
5000,2.0945
5100,2.057
5200,2.14625
5300,2.2855
5400,2.153
5500,2.14875
5600,2.27475
5700,2.01875
5800,2.294
5900,2.19925
6000,2.13425
6100,2.337
6200,2.1745
6300,2.1315
6400,2.409
6500,2.13625
6600,2.047
6700,2.1815
6800,2.16075
6900,2.034
7000,2.08325
7100,2.126
7200,2.156
7300,2.17375
7400,2.00675
7500,2.03175
7600,2.1845
7700,2.198
7800,2.05575
7900,2.203
8000,2.23275
8100,2.178
8200,2.145
8300,2.34075
8400,2.2785
8500,2.104
8600,2.27875
8700,2.03525
8800,2.3175
8900,2.268
9000,2.18475
9100,2.19275
9200,2.11
9300,2.13575
9400,2.24225
9500,2.253
9600,2.27675
9700,2.23725
9800,2.37225
9900,2.19625
10000,2.44575
10100,2.33
10200,2.18425
10300,2.484
10400,2.492
10500,2.2945
10600,2.4465
10700,2.386
10800,2.33275
10900,2.4085
11000,2.39175
11100,2.63025
11200,2.4875
11300,2.5965
11400,2.3705
11500,2.212
11600,2.396
11700,2.344
11800,2.3595
11900,2.32975
12000,2.493
12100,2.554
12200,2.47975
12300,2.461
12400,2.46675
12500,2.5295
12600,2.64575
12700,2.57025
12800,2.47975
12900,2.47675
13000,2.45725
13100,2.57
13200,2.339
13300,2.549
13400,2.52225
13500,2.554
13600,2.753
13700,2.5095
13800,2.528
13900,2.62125
14000,2.377
14100,2.471
14200,2.5615
14300,2.7055
14400,2.65975
14500,2.474
14600,2.59775
14700,2.58225
14800,2.5755
14900,2.54975
15000,2.71425
15100,2.443
15200,2.53325
15300,2.65675
15400,2.7505
15500,2.55975
15600,2.62375
15700,2.55825
15800,2.75175
15900,2.531
16000,2.6135
16100,2.45625
16200,2.51475
16300,2.71025
16400,2.62925
16500,2.793
16600,2.4055
16700,2.5265
16800,2.72825
16900,2.4535
17000,2.70325
